Time,Stage,Pressure,Altitude
19.07,0,98536.18,232.75
19.27,0,98536.18,232.75
19.47,0,98536.02,232.76
19.67,0,98536.02,232.76
19.87,0,98536.02,232.76
20.07,0,98535.85,232.78
20.27,0,98535.85,232.78
20.47,0,98535.85,232.78
20.67,0,98535.85,232.78
20.87,0,98535.85,232.78
21.07,0,98535.85,232.78
21.27,0,98535.85,232.78
21.47,0,98535.68,232.79
21.67,0,98535.68,232.79
21.87,0,98535.68,232.79
22.07,0,98535.68,232.79
22.27,0,98535.68,232.79
22.47,0,98535.68,232.79
22.67,0,98535.68,232.79
22.87,0,98535.51,232.81
23.07,0,98535.51,232.81
23.27,0,98535.51,232.81
23.47,0,98535.51,232.81
23.67,0,98535.51,232.81
23.87,0,98535.51,232.81
24.07,0,98535.51,232.81
24.27,0,98535.51,232.81
24.47,0,98535.51,232.81
24.67,0,98535.86,232.78
24.87,0,98535.86,232.78
25.07,0,98535.86,232.78
25.27,0,98535.86,232.78
25.47,0,98535.86,232.78
25.67,0,98535.86,232.78
25.87,0,98535.86,232.78
26.07,0,98536.03,232.76
26.27,0,98536.03,232.76
26.47,0,98536.03,232.76
26.67,0,98535.86,232.78
26.87,0,98535.86,232.78
27.07,0,98535.69,232.79
27.27,0,98535.69,232.79
27.47,0,98535.69,232.79
27.67,0,98535.69,232.79
27.87,0,98535.69,232.79
28.07,0,98535.88,232.78
28.27,0,98535.88,232.78
28.47,0,98535.52,232.81
28.67,0,98535.52,232.81
28.87,0,98535.69,232.79
29.07,0,98535.69,232.79
29.27,0,98535.69,232.79
29.47,0,98536.05,232.76
29.67,0,98536.05,232.76
29.87,0,98536.05,232.76
30.07,0,98536.05,232.76
30.27,0,98536.05,232.76
30.47,0,98536.05,232.76
30.67,0,98536.05,232.76
30.87,0,98536.05,232.76
31.07,0,98536.05,232.76
31.27,0,98536.05,232.76
31.47,0,98536.05,232.76
Time,Stage,Pressure,Altitude
0.20,0,98536.21,232.75
0.40,0,98536.21,232.75
0.60,0,98536.21,232.75
0.80,0,98536.21,232.75
1.00,0,98536.21,232.75
1.20,0,98536.21,232.75
1.40,0,98536.21,232.75
1.60,0,98536.21,232.75
1.80,0,98536.21,232.75
2.00,0,98536.38,232.73
2.20,0,98536.38,232.73
2.40,0,98536.38,232.73
2.60,0,98536.38,232.73
2.80,0,98536.38,232.73
3.00,0,98536.38,232.73
3.20,0,98536.38,232.73
3.40,0,98536.38,232.73
3.60,0,98536.38,232.73
3.80,0,98536.38,232.73
4.00,0,98536.38,232.73
4.19,0,98536.38,232.73
4.39,0,98536.38,232.73
4.58,0,98536.38,232.73
4.77,0,98536.38,232.73
4.96,0,98536.55,232.72
5.16,0,98536.55,232.72
5.35,0,98536.55,232.72
5.55,0,98536.55,232.72
5.75,0,98536.55,232.72
5.95,0,98536.55,232.72
6.14,0,98536.55,232.72
6.33,0,98536.53,232.72
6.53,0,98536.53,232.72
6.73,0,98536.88,232.69
6.93,0,98536.88,232.69
7.12,0,98537.05,232.68
7.32,0,98537.05,232.68
7.52,0,98537.05,232.68
7.72,0,98537.22,232.66
7.91,0,98537.22,232.66
8.10,0,98537.38,232.65
